Data;pcr-positivo;pcr-negativo;pcr-positivo-0a4;pcr-positivo-5a9;pcr-positivo-10a14;pcr-positivo-15a19;pcr-positivo-20a29;pcr-positivo-30a39;pcr-positivo-40a49;pcr-positivo-50a59;pcr-positivo-60a69;pcr-positivo-70a79;pcr-positivo-80a999;obitos
2020-02-16;1;1;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-17;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-18;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-19;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-20;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-21;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-22;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-23;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-24;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-25;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-26;1;79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
2020-02-27;0;78;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-28;0;14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-02-29;0;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-01;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-02;4;21;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0
2020-03-03;0;11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-04;0;6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-05;1;20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2020-03-06;0;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-07;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-08;2;2;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-09;9;10;0.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0
2020-03-10;7;13;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0
2020-03-11;6;15;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0
2020-03-12;9;113;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;2.0;0.0;1.0;0.0
2020-03-13;85;308;0.0;0.0;0.0;1.0;76.0;2.0;1.0;5.0;0.0;0.0;0.0;0.0
2020-03-14;16;117;0.0;0.0;0.0;0.0;5.0;4.0;3.0;1.0;3.0;0.0;0.0;0.0
2020-03-15;22;168;0.0;0.0;0.0;0.0;2.0;3.0;5.0;7.0;4.0;1.0;0.0;0.0
2020-03-16;82;389;0.0;1.0;2.0;0.0;9.0;23.0;4.0;22.0;15.0;5.0;1.0;0.0
2020-03-17;238;337;0.0;0.0;0.0;0.0;15.0;88.0;25.0;83.0;22.0;5.0;0.0;1.0
2020-03-18;67;170;1.0;0.0;1.0;0.0;7.0;18.0;12.0;11.0;9.0;6.0;2.0;1.0
2020-03-19;139;243;0.0;0.0;0.0;0.0;14.0;90.0;13.0;12.0;10.0;0.0;0.0;1.0
2020-03-20;111;468;1.0;0.0;0.0;1.0;11.0;34.0;19.0;20.0;18.0;3.0;4.0;0.0
2020-03-21;24;110;0.0;0.0;0.0;0.0;2.0;6.0;3.0;4.0;7.0;2.0;0.0;0.0
2020-03-22;44;187;0.0;0.0;0.0;0.0;8.0;5.0;3.0;9.0;12.0;4.0;3.0;0.0
2020-03-23;53;364;0.0;0.0;0.0;2.0;8.0;9.0;10.0;14.0;6.0;2.0;2.0;1.0
2020-03-24;120;1744;0.0;0.0;0.0;0.0;1.0;10.0;9.0;16.0;6.0;77.0;1.0;0.0
2020-03-25;58;560;1.0;0.0;1.0;0.0;12.0;15.0;13.0;1.0;10.0;3.0;2.0;1.0
2020-03-26;34;446;1.0;0.0;0.0;0.0;0.0;11.0;2.0;8.0;8.0;2.0;2.0;1.0
2020-03-27;247;723;0.0;0.0;0.0;0.0;8.0;15.0;15.0;24.0;93.0;9.0;83.0;6.0
2020-03-28;53;175;0.0;0.0;0.0;0.0;7.0;9.0;9.0;15.0;7.0;1.0;5.0;1.0
2020-03-29;45;273;0.0;0.0;0.0;0.0;3.0;9.0;11.0;7.0;8.0;6.0;1.0;0.0
2020-03-30;322;1077;0.0;1.0;0.0;0.0;14.0;95.0;21.0;95.0;87.0;7.0;2.0;2.0
2020-03-31;76;627;0.0;1.0;0.0;1.0;9.0;27.0;20.0;8.0;6.0;3.0;1.0;1.0
2020-04-01;88;692;0.0;0.0;0.0;0.0;14.0;12.0;23.0;12.0;20.0;4.0;3.0;1.0
2020-04-02;63;527;0.0;0.0;2.0;0.0;3.0;9.0;16.0;9.0;16.0;7.0;1.0;1.0
2020-04-03;57;523;0.0;0.0;0.0;2.0;8.0;6.0;17.0;12.0;8.0;4.0;0.0;2.0
2020-04-04;36;204;1.0;4.0;1.0;1.0;6.0;6.0;9.0;7.0;0.0;1.0;0.0;1.0
2020-04-05;23;148;0.0;0.0;0.0;0.0;0.0;5.0;5.0;4.0;2.0;6.0;1.0;1.0
2020-04-06;116;721;2.0;0.0;0.0;0.0;10.0;30.0;21.0;32.0;8.0;10.0;3.0;0.0
2020-04-07;154;862;0.0;0.0;1.0;1.0;14.0;89.0;14.0;21.0;9.0;4.0;1.0;2.0
2020-04-08;229;767;1.0;0.0;0.0;3.0;153.0;24.0;18.0;10.0;14.0;5.0;1.0;1.0
2020-04-09;55;783;1.0;0.0;0.0;1.0;9.0;13.0;7.0;9.0;6.0;7.0;2.0;0.0
2020-04-10;37;227;0.0;0.0;0.0;2.0;3.0;2.0;15.0;8.0;1.0;3.0;3.0;0.0
2020-04-11;35;338;0.0;0.0;0.0;0.0;6.0;14.0;3.0;8.0;1.0;1.0;2.0;2.0
2020-04-12;41;192;0.0;0.0;0.0;0.0;2.0;20.0;3.0;10.0;5.0;0.0;1.0;0.0
