Data;pcr-positivo;pcr-negativo;pcr-positivo-0a4;pcr-positivo-5a9;pcr-positivo-10a14;pcr-positivo-15a19;pcr-positivo-20a29;pcr-positivo-30a39;pcr-positivo-40a49;pcr-positivo-50a59;pcr-positivo-60a69;pcr-positivo-70a79;pcr-positivo-80a999;obitos
2020-03-08;1;0;;;;1.0;;;;;;;;
2020-03-09;3;1;;;;0.0;;;2.0;1.0;;;;
2020-03-10;2;0;;;;0.0;1.0;;0.0;1.0;;;;
2020-03-11;2;0;;;;0.0;0.0;1.0;0.0;0.0;1.0;;;
2020-03-12;1;1;;;;0.0;0.0;1.0;0.0;0.0;0.0;;;
2020-03-13;3;2;;;;0.0;1.0;0.0;0.0;2.0;0.0;;;
2020-03-14;6;4;;;;0.0;5.0;1.0;0.0;0.0;0.0;;;
2020-03-15;6;5;;;;0.0;1.0;2.0;1.0;0.0;2.0;;;
2020-03-16;14;8;;;;0.0;3.0;3.0;0.0;4.0;2.0;2.0;;
2020-03-17;5;14;;;;0.0;1.0;2.0;1.0;1.0;0.0;0.0;;
2020-03-18;10;10;;;;0.0;0.0;4.0;2.0;1.0;0.0;2.0;1.0;
2020-03-19;8;11;;;;0.0;1.0;3.0;2.0;1.0;1.0;0.0;0.0;
2020-03-20;9;5;;;;0.0;0.0;5.0;1.0;2.0;1.0;0.0;0.0;
2020-03-21;4;9;;;;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;
2020-03-22;3;8;;;;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;
2020-03-23;13;17;;;;1.0;5.0;2.0;2.0;2.0;1.0;0.0;0.0;
2020-03-24;7;12;;;;0.0;0.0;1.0;2.0;4.0;0.0;0.0;0.0;
2020-03-25;11;21;;;;0.0;3.0;3.0;1.0;0.0;2.0;2.0;0.0;
2020-03-26;1;19;;;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;
2020-03-27;5;20;;;;0.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;
2020-03-28;3;17;;;;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;
2020-03-29;1;9;;;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
2020-03-30;4;37;;;;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;
2020-03-31;3;29;;;;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;
2020-04-01;4;27;;;;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;
2020-04-02;3;19;;;;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;
2020-04-03;5;29;;;;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;
2020-04-04;3;16;;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;
2020-04-05;0;15;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
2020-04-06;17;33;1.0;0.0;0.0;0.0;2.0;5.0;4.0;4.0;1.0;0.0;0.0;
2020-04-07;12;26;0.0;0.0;1.0;0.0;5.0;3.0;0.0;1.0;1.0;1.0;0.0;1.0
2020-04-08;14;32;0.0;0.0;0.0;3.0;0.0;1.0;1.0;4.0;4.0;1.0;0.0;0.0
2020-04-09;14;28;0.0;0.0;0.0;0.0;2.0;5.0;3.0;2.0;1.0;1.0;0.0;0.0
2020-04-10;2;11;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0
2020-04-11;3;4;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0
2020-04-12;9;13;0.0;0.0;0.0;0.0;0.0;3.0;1.0;3.0;1.0;0.0;1.0;0.0
2020-04-13;6;55;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0
2020-04-14;3;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
2020-04-15;1;76;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-04-16;4;15;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0
2020-04-17;1;10;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-18;1;3;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-19;0;4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-20;4;12;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-04-21;2;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0
2020-04-22;0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-23;1;7;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-04-24;5;9;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0
2020-04-25;1;2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-04-26;0;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-27;10;18;0.0;0.0;0.0;0.0;1.0;4.0;3.0;1.0;0.0;0.0;1.0;0.0
2020-04-28;5;9;1.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-04-29;4;6;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0
2020-04-30;4;10;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
2020-05-01;0;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05-02;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05-03;1;2;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05-04;8;14;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0
2020-05-05;2;4;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
2020-05-06;6;17;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0
2020-05-07;7;17;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0
2020-05-08;6;7;0.0;0.0;0.0;0.0;0.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0
2020-05-09;2;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-05-10;0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05-11;2;3;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
2020-05-12;4;7;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0
2020-05-13;4;7;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0
2020-05-14;7;7;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0
2020-05-15;6;10;0.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0
2020-05-16;0;5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-05-17;3;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0
2020-05-18;6;11;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0
2020-05-19;5;10;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
2020-05-20;5;11;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0
2020-05-21;8;10;0.0;0.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0
2020-05-22;6;6;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0
2020-05-23;2;3;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-05-24;3;3;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
2020-05-25;5;7;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0
2020-05-26;7;11;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0
2020-05-27;3;20;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
2020-05-28;5;17;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0
2020-05-29;8;9;1.0;0.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0
2020-05-30;3;3;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0
2020-05-31;6;5;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;0.0
2020-06-01;12;9;0.0;0.0;0.0;0.0;0.0;6.0;2.0;2.0;1.0;1.0;0.0;0.0
2020-06-02;6;19;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0
2020-06-03;10;24;0.0;0.0;0.0;0.0;0.0;4.0;3.0;1.0;2.0;0.0;0.0;0.0
2020-06-04;6;14;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
2020-06-05;10;9;0.0;0.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0;1.0;0.0;0.0
2020-06-06;6;5;0.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0
2020-06-07;2;4;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
2020-06-08;7;17;0.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0
2020-06-09;11;17;0.0;0.0;0.0;0.0;4.0;2.0;2.0;2.0;0.0;1.0;0.0;0.0
