Data;pcr-positivo;pcr-negativo;pcr-positivo-0a4;pcr-positivo-5a9;pcr-positivo-10a14;pcr-positivo-15a19;pcr-positivo-20a29;pcr-positivo-30a39;pcr-positivo-40a49;pcr-positivo-50a59;pcr-positivo-60a69;pcr-positivo-70a79;pcr-positivo-80a999;obitos
2020-02-16;1;1;;;;;1;;;;;;;
2020-02-17;0;0;;;;;0;;;;;;;
2020-02-18;0;0;;;;;0;;;;;;;
2020-02-19;0;0;;;;;0;;;;;;;
2020-02-20;0;0;;;;;0;;;;;;;
2020-02-21;0;0;;;;;0;;;;;;;
2020-02-22;0;0;;;;;0;;;;;;;
2020-02-23;0;0;;;;;0;;;;;;;
2020-02-24;0;0;;;;;0;;;;;;;
2020-02-25;0;2;;;;;0;;;;;;;
2020-02-26;1;79;;;;;0;;;;;1.0;;
2020-02-27;0;78;;;;;0;;;;;0.0;;
2020-02-28;0;14;;;;;0;;;;;0.0;;
2020-02-29;0;4;;;;;0;;;;;0.0;;
2020-03-01;0;3;;;;;0;;;;;0.0;;
2020-03-02;0;8;;;;;0;;;;;0.0;;
2020-03-03;0;5;;;;;0;;;;;0.0;;
2020-03-04;0;3;;;;;0;;;;;0.0;;
2020-03-05;0;7;;;;;0;;;;;0.0;;
2020-03-06;0;12;;;;;0;;;;;0.0;;
2020-03-07;0;2;;;;;0;;;;;0.0;;
2020-03-08;0;2;;;;;0;;;;;0.0;;
2020-03-09;3;8;;;;;1;2.0;;;;0.0;;
2020-03-10;4;12;;;;;0;0.0;;4.0;;0.0;;
2020-03-11;1;15;;;;;0;0.0;;1.0;;0.0;;
2020-03-12;5;102;;;;;0;0.0;;3.0;1.0;0.0;1.0;
2020-03-13;80;301;;;;;75;2.0;1.0;2.0;0.0;0.0;0.0;
2020-03-14;3;110;;;;;0;0.0;3.0;0.0;0.0;0.0;0.0;
2020-03-15;11;162;;;;;0;0.0;4.0;5.0;2.0;0.0;0.0;
2020-03-16;35;365;;;2.0;;4;13.0;2.0;11.0;2.0;0.0;1.0;
2020-03-17;197;307;;;0.0;;7;79.0;17.0;77.0;15.0;2.0;0.0;1.0
2020-03-18;27;141;1.0;;0.0;;5;6.0;5.0;4.0;5.0;1.0;0.0;1.0
2020-03-19;104;207;0.0;;0.0;;4;81.0;5.0;8.0;6.0;0.0;0.0;1.0
2020-03-20;44;415;0.0;;0.0;;1;14.0;5.0;6.0;13.0;1.0;4.0;0.0
2020-03-21;14;69;0.0;;0.0;;0;3.0;2.0;2.0;5.0;2.0;0.0;0.0
2020-03-22;21;150;0.0;;0.0;;5;2.0;0.0;5.0;6.0;3.0;0.0;0.0
2020-03-23;14;288;0.0;;0.0;;0;1.0;4.0;5.0;2.0;0.0;2.0;1.0
2020-03-24;98;1694;0.0;;0.0;;1;6.0;6.0;6.0;3.0;75.0;1.0;0.0
2020-03-25;27;501;0.0;;1.0;;5;6.0;8.0;1.0;4.0;0.0;2.0;1.0
2020-03-26;24;388;1.0;;0.0;;0;5.0;2.0;7.0;6.0;1.0;2.0;1.0
2020-03-27;219;606;0.0;;0.0;;5;6.0;9.0;18.0;91.0;7.0;83.0;6.0
